"Project ID","Project Name","Status","Points","Requirement Scope","Requirement Group","Requirement Title","Requirement Description","Weight (%)","Points (calculated)"
"g9lh2285-n84i-3jmm-j0k7-48no23664ko9","project-10","draft","85","Common","Model danych, Repository i JdbcTemplate","","Encje z @Entity, @Id, @GeneratedValue, @Column. Relacje @OneToMany/@ManyToOne z @JoinColumn, @ManyToMany z @JoinTable. ","4","3.4"
"g9lh2285-n84i-3jmm-j0k7-48no23664ko9","project-10","draft","85","Common","Model danych, Repository i JdbcTemplate","","Repository rozszerzające JpaRepository<T, ID> z custom query methods (findBy... lub @Query). Pageable support (Page<T>) dla paginacji. Konfiguracja w application.yml (datasource, jpa, hibernate). Używanie plików .sql do inicjalizacji bazy/danych","5","4.25"
"g9lh2285-n84i-3jmm-j0k7-48no23664ko9","project-10","draft","85","Common","Model danych, Repository i JdbcTemplate","","JdbcTemplate jako dependency. Zapytania SELECT z query() i RowMapper. Operacje INSERT/UPDATE/DELETE z update(). Użycie w serwisie lub dedykowanym DAO.","5","4.25"
"g9lh2285-n84i-3jmm-j0k7-48no23664ko9","project-10","draft","85","Common","REST API","","@RestController z @RequestMapping(""/api/v1/...""). GET (lista z paginacją, single), POST (tworzenie), PUT (aktualizacja), DELETE. @PathVariable, @RequestBody, @RequestParam. ResponseEntity z kodami HTTP (200, 201, 204, 400, 404).","7","5.95"
"g9lh2285-n84i-3jmm-j0k7-48no23664ko9","project-10","draft","85","Common","REST API","","Springdoc OpenAPI i Swagger UI dostępny pod /swagger-ui.html. Poprawna dokumentacja endpointów.","5","4.25"
"g9lh2285-n84i-3jmm-j0k7-48no23664ko9","project-10","draft","85","Common","Warstwa aplikacji - Business Logic","","@Service, @Transactional(readOnly = true/false). Dependency injection przez konstruktor. Mapowanie Entity ↔ DTO. Własne wyjątki (ResourceNotFoundException). @RestControllerAdvice + @ExceptionHandler dla globalnej obsługi błędów.","3","2.55"
"g9lh2285-n84i-3jmm-j0k7-48no23664ko9","project-10","draft","85","Common","Warstwa aplikacji - Business Logic","","Walidacja w DTO: @NotNull, @NotBlank, @Size, @Email, @Valid. Bean Validation na poziomie kontrolera i serwisu. Spójne komunikaty błędów.","3","2.55"
"g9lh2285-n84i-3jmm-j0k7-48no23664ko9","project-10","draft","85","Common","Warstwa aplikacji - Business Logic","","@Controller z Model i @ModelAttribute. Widoki z th:each (listy), th:object/th:field (formularze). Wyświetlanie błędów (th:errors). Layout z fragmentami (th:fragment, th:replace). Bootstrap 5 styling.","3","2.55"
"g9lh2285-n84i-3jmm-j0k7-48no23664ko9","project-10","draft","85","Common","Warstwa aplikacji - Business Logic","","Upload plików (MultipartFile, enctype=""multipart/form-data""). Zapis na dysk (Files.copy). Download plików (Resource, ResponseEntity<byte[]>). Export do CSV/PDF.","3","2.55"
"g9lh2285-n84i-3jmm-j0k7-48no23664ko9","project-10","draft","85","Common","Spring Security","","SecurityFilterChain jako @Bean. authorizeHttpRequests z requestMatchers do kontroli dostępu. formLogin z konfiguracją. BCryptPasswordEncoder dla szyfrowania haseł. UserDetailsService z loadUserByUsername.","4","3.4"
"g9lh2285-n84i-3jmm-j0k7-48no23664ko9","project-10","draft","85","Common","Testowanie","","@DataJpaTest dla testowania repository. Min. 10 testów CRUD. RowMapper i custom queries.","2","1.7"
"g9lh2285-n84i-3jmm-j0k7-48no23664ko9","project-10","draft","85","Common","Testowanie","","@Mock, @InjectMocks, Mockito: when().thenReturn(), verify(). Unit testy dla logiki biznesowej.","3","2.55"
"g9lh2285-n84i-3jmm-j0k7-48no23664ko9","project-10","draft","85","Common","Testowanie","","@WebMvcTest lub @SpringBootTest dla controllerów REST. MockMvc: perform(), andExpect(). @WithMockUser dla testów Security. Min. 5 scenariuszy biznesowych.","2","1.7"
"g9lh2285-n84i-3jmm-j0k7-48no23664ko9","project-10","draft","85","Common","Testowanie","","JaCoCo - coverage 70%+. Raport z pokryciem kodu. Testy obejmują Happy Path i Error Cases.","1","0.85"
"g9lh2285-n84i-3jmm-j0k7-48no23664ko9","project-10","draft","85","Specific","Project-specific","","Ekran startowy z banerem reklamowym (karuzela lub statyczny obraz). Moduł repertuaru umożliwiający wybór daty (kalendarz/zakładki dni). Wyświetlanie listy filmów dostępnych w wybranym dniu wraz z godzinami seansów. Kliknięcie w godzinę przenosi do rezerwacji.","4","3.4"
"g9lh2285-n84i-3jmm-j0k7-48no23664ko9","project-10","draft","85","Specific","Project-specific","","Podstrona filmu zawierająca: Tytuł, Gatunek, Ograniczenie wiekowe, Reżysera, Obsadę. Integracja z odtwarzaczem wideo (np. YouTube embed) dla zwiastuna. Galeria zdjęć (min. 3 zdjęcia).","6","5.1"
"g9lh2285-n84i-3jmm-j0k7-48no23664ko9","project-10","draft","85","Specific","Project-specific","","Interaktywny widok sali kinowej (siatka miejsc). Rozróżnienie graficzne miejsc: Wolne, Zajęte (sprzedane), Wybrane przez użytkownika. Logika frontendowa (JS) i backendowa blokująca wybór zajętych miejsc.","8","6.8"
"g9lh2285-n84i-3jmm-j0k7-48no23664ko9","project-10","draft","85","Specific","Project-specific","","Po wybraniu miejsca użytkownik wybiera typ biletu (Normalny/Ulgowy/Rodzinny), co wpływa na cenę. Koszyk sesyjny umożliwiający podgląd wybranych miejsc, zmianę typu biletu lub usunięcie miejsca z rezerwacji przed płatnością.","6","5.1"
